North Rhine-Westphalia,8
Scotland,80
Massachusetts,81
Provence-Alpes-Cote d'Azur,82
Mardin,83
Nouvelle-Aquitaine,84
Kyiv city,85
Hatay,86
Hawalli Governorate,87
Rhineland-Palatinate,88
Masovian Voivodeship,89
Virginia,9
Tokyo,90
Schleswig-Holstein,91
Denizli,92
Tehran,93
Malatya,94
Abu Dhabi,95
Lagos,96
Federal Territory of Kuala Lumpur,97
Oslo,98
Almaty Province,99
